rule_id,control_name,control_type,description,logic_definition,dataset_scope,data_element,threshold,severity,frequency,owner,output_type,kpi,remediation_action,regulatory_ref,ref_dataset_scope,params,threshold_pct,active,created_at,updated_at
CMP_PASS,Risk category always populated,Completeness,Every turnover series must carry a derivatives risk category (DER_RISK).,No row in finance_data where DER_RISK is NULL or blank. SQL: SELECT * FROM finance_data WHERE DER_RISK IS NULL OR TRIM(DER_RISK) = '';,finance_data,DER_RISK,0 anomaly tolerated (binary),High,Daily,Data Steward Markets,Error dataset,% completeness,Reject the feed and ask the source to repopulate DER_RISK.,BCBS 239 - Principle 4 (Completeness),,"{""field"": ""DER_RISK""}",,TRUE,2026-09-08T11:17:30.234710+00:00,2026-09-09T09:14:47.158948+00:00
CMP_FAIL,2013 turnover value populated,Completeness,The 2013 turnover column must be populated for every reported series.,No row in finance_data where 2013 is NULL or blank. SQL: SELECT * FROM finance_data WHERE 2013 IS NULL OR TRIM(2013) = '';,finance_data,2013,0 anomaly tolerated (binary),Medium,Monthly,Data Owner EUC,Error dataset,% completeness 2013,Confirm whether 2013 is in scope; backfill from the historical extract or mark the column out of scope.,,,"{""field"": ""2013""}",,TRUE,2026-09-09T09:14:47.158948+00:00,2026-09-09T09:14:47.158948+00:00
CMP_THRESHOLD_PASS,2019 turnover value populated (<=30% gap tolerated),Completeness,The 2019 turnover column should be mostly populated; up to 30% of series may legitimately have no 2019 observation.,No row in finance_data where 2019 is NULL or blank. SQL: SELECT * FROM finance_data WHERE 2019 IS NULL OR TRIM(2019) = '';,finance_data,2019,<= 30.0% of records in anomaly,Low,Monthly,Data Owner EUC,Summary report,% completeness 2019,"If the gap exceeds 30%, investigate the 2019 extract before publishing.",,,"{""field"": ""2019""}",30.0,TRUE,2026-09-08T11:17:30.265959+00:00,2026-09-09T09:14:47.181892+00:00
VAL_LIST_PASS,Counterparty country code is known,Validity,DER_CPC must be one of the three published counterparty-country groupings.,"DER_CPC belongs to the allowed set. SQL: SELECT * FROM finance_data WHERE DER_CPC NOT IN ('1E', '5J', '5Z');",finance_data,DER_CPC,0 anomaly tolerated (binary),Medium,Daily,Data Steward Markets,Validation report,% valid DER_CPC,Map the unknown code or extend the reference list.,,,"{""field"": ""DER_CPC"", ""allowed_values"": [""1E"", ""5J"", ""5Z""]}",,TRUE,2026-09-08T11:17:30.265959+00:00,2026-09-09T09:14:47.181892+00:00
VAL_LIST_FAIL,Counterparty sector is an accepted code,Validity,"DER_SECTOR_CPY must belong to the accepted counterparty-sector set (A-J, P, U, V, W). 'X' (related-party trades) is not accepted here.","DER_SECTOR_CPY belongs to the allowed set. SQL: SELECT * FROM finance_data WHERE DER_SECTOR_CPY NOT IN ('A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'P', 'U', 'V', 'W');",finance_data,DER_SECTOR_CPY,0 anomaly tolerated (binary),High,Daily,Control Owner,Validation report,% valid DER_SECTOR_CPY,"Confirm whether related-party trades ('X') belong in this cut; if so, add 'X' to the rule, otherwise correct the source classification.",,,"{""field"": ""DER_SECTOR_CPY"", ""allowed_values"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""P"", ""U"", ""V"", ""W""]}",,TRUE,2026-09-08T11:17:30.285693+00:00,2026-09-09T09:14:47.197530+00:00
VAL_REGEX_PASS,Series key format,Validity,The Series identifier must be upper-case alphanumerics and colons only (the BIS key convention).,"Series matches the pattern '^[A-Z0-9:]+$'. SQL: SELECT * FROM finance_data WHERE NOT regexp_matches(Series, '^[A-Z0-9:]+$');",finance_data,Series,0 anomaly tolerated (binary),Low,Per run,Data Owner EUC,Validation report,% well-formed Series keys,Trim stray characters / whitespace from the Series key at the source.,,,"{""field"": ""Series"", ""regex"": ""^[A-Z0-9:]+$""}",,TRUE,2026-09-08T11:17:30.285693+00:00,2026-09-09T09:14:47.213194+00:00
UNQ_PASS,Series identifier is unique,Uniqueness,The Series key must identify exactly one row in the extract.,"No duplicate on (Series). SQL: SELECT Series, COUNT(*) FROM finance_data GROUP BY Series HAVING COUNT(*) > 1;",finance_data,Series,0 anomaly tolerated (binary),High,Per run,Data Owner EUC,Duplicate records list,Duplicate rate,De-duplicate the extract and investigate the source join.,BCBS 239 - Principle 3 (Accuracy and Integrity),,"{""keys"": [""Series""]}",,TRUE,2026-09-08T11:17:30.301327+00:00,2026-09-09T09:14:47.228779+00:00
UNQ_FAIL,One row per business dimension combination,Uniqueness,"The combination of every business dimension (country, instrument, risk, sector, both currency legs, maturity, rating, execution method, basis) is expected to identify a single series.","No duplicate on (DER_REP_CTY, DER_INSTR, DER_RISK, DER_SECTOR_CPY, DER_CURR_LEG1, DER_CURR_LEG2, DER_ISSUE_MAT, DER_RATING, DER_EX_METHOD, DER_BASIS). SQL: SELECT DER_REP_CTY, DER_INSTR, DER_RISK, DER_SECTOR_CPY, DER_CURR_LEG1, DER_CURR_LEG2, DER_ISSUE_MAT, DER_RATING, DER_EX_METHOD, DER_BASIS, COUNT(*) FROM finance_data GROUP BY DER_REP_CTY, DER_INSTR, DER_RISK, DER_SECTOR_CPY, DER_CURR_LEG1, DER_CURR_LEG2, DER_ISSUE_MAT, DER_RATING, DER_EX_METHOD, DER_BASIS HAVING COUNT(*) > 1;",finance_data,"DER_REP_CTY, DER_INSTR, DER_RISK, DER_SECTOR_CPY, DER_CURR_LEG1, DER_CURR_LEG2, DER_ISSUE_MAT, DER_RATING, DER_EX_METHOD, DER_BASIS",0 anomaly tolerated (binary),Medium,Per run,Control Owner,Duplicate records list,Duplicate rate,Review the grain of the extract: add the missing dimension(s) to the key or aggregate the duplicates.,,,"{""keys"": [""DER_REP_CTY"", ""DER_INSTR"", ""DER_RISK"", ""DER_SECTOR_CPY"", ""DER_CURR_LEG1"", ""DER_CURR_LEG2"", ""DER_ISSUE_MAT"", ""DER_RATING"", ""DER_EX_METHOD"", ""DER_BASIS""]}",,TRUE,2026-09-08T11:17:30.316952+00:00,2026-09-09T09:14:47.228779+00:00
CON_PASS,Counterparty sector exists in the code table,Consistency,Every DER_SECTOR_CPY value must exist in the counterparty-sector reference code table.,Every DER_SECTOR_CPY in finance_data exists in ref_dimension_codes.sector_code. SQL: SELECT s.* FROM finance_data s LEFT JOIN ref_dimension_codes r ON s.DER_SECTOR_CPY = r.sector_code WHERE r.sector_code IS NULL;,finance_data,DER_SECTOR_CPY,0 anomaly tolerated (binary),Medium,Daily,Data Steward Reference,Exception dataset,% referential integrity,Add the missing code to ref_dimension_codes or correct the source value.,,ref_dimension_codes,"{""field"": ""DER_SECTOR_CPY"", ""ref_field"": ""sector_code""}",,TRUE,2026-09-08T11:17:30.332578+00:00,2026-09-09T09:14:47.244406+00:00
CON_FAIL,Counterparty country exists in the code table,Consistency,Every DER_CPC value must exist in the counterparty-country reference code table (which currently lists only 1E and 5J).,Every DER_CPC in finance_data exists in ref_dimension_codes.cpc_code. SQL: SELECT s.* FROM finance_data s LEFT JOIN ref_dimension_codes r ON s.DER_CPC = r.cpc_code WHERE r.cpc_code IS NULL;,finance_data,DER_CPC,0 anomaly tolerated (binary),High,Daily,Data Steward Reference,Exception dataset,% referential integrity,Extend ref_dimension_codes with the missing counterparty-country grouping (5Z) after confirming it is a valid published code.,BCBS 239 - Principle 3 (Accuracy and Integrity),ref_dimension_codes,"{""field"": ""DER_CPC"", ""ref_field"": ""cpc_code""}",,TRUE,2026-09-08T11:17:30.332578+00:00,2026-09-09T09:14:47.260030+00:00
TIM_PASS,Feed refreshed within 10 years,Timeliness,Every country feed in feed_status must have been refreshed within the last 3650 days (sanity bound).,last_updated is not older than 3650 day(s) relative to today. SQL: SELECT * FROM feed_status WHERE last_updated < CURRENT_DATE - INTERVAL '3650' DAY;,feed_status,last_updated,lag <= 3650 day(s) ; 0 anomaly tolerated (binary),Low,Daily,Control Owner,SLA breach log,% feeds within sanity bound,Investigate any feed with no refresh in a decade -- likely decommissioned.,,,"{""field"": ""last_updated"", ""max_lag_days"": 3650, ""reference_date"": ""today""}",,TRUE,2026-09-08T11:17:30.348202+00:00,2026-09-09T09:14:47.260030+00:00
TIM_FAIL,Feed refreshed within 7 days,Timeliness,Every country feed in feed_status must have been refreshed within the last 7 calendar days.,last_updated is not older than 7 day(s) relative to today. SQL: SELECT * FROM feed_status WHERE last_updated < CURRENT_DATE - INTERVAL '7' DAY;,feed_status,last_updated,lag <= 7 day(s) ; 0 anomaly tolerated (binary),High,Daily,Data Steward Markets,SLA breach log,% feeds within SLA,Chase the source for the stale country feeds; escalate if no refresh in the next cycle.,BCBS 239 - Principle 5 (Timeliness),,"{""field"": ""last_updated"", ""max_lag_days"": 7, ""reference_date"": ""today""}",,TRUE,2026-09-08T11:17:30.363827+00:00,2026-09-09T09:14:47.282480+00:00
REC_PASS,EUC positions tie to the ledger,Reconciliation,Each EUC position amount must match the ledger amount within 1%.,"Value of amount reconciled between recon_euc_positions and recon_gl_match (tolerance 1%). SQL: SELECT * FROM recon_euc_positions s FULL OUTER JOIN recon_gl_match r ON s.deal_id = r.deal_id WHERE s.deal_id IS NULL OR r.deal_id IS NULL OR ABS(s.amount - r.amount) / NULLIF(r.amount, 0) * 100 > 1;",recon_euc_positions,amount,unit gap tolerated <= 1% ; 0 anomaly tolerated (binary),High,Daily,Finance Control,Reconciliation report,% reconciled,Escalate any residual break to Finance Control.,,recon_gl_match,"{""key"": ""deal_id"", ""field"": ""amount"", ""ref_field"": ""amount"", ""tolerance_pct"": 1}",,TRUE,2026-09-08T11:17:30.385413+00:00,2026-09-09T09:14:47.282480+00:00
